rating,sentiment,clean_review
1,negative,best
5,positive,lets see work
4,positive,helpful
5,positive,give try happy app working
5,positive,reliable easy use
5,positive,good luck
4,positive,better easy earn money
1,negative,first good cant identify image screen shot anymore sad
1,negative,dont saw anything app force rate
1,negative,pathetic time less n bad aap dont waste mb data
3,neutral,made profitable trades continue monitor
1,negative,star coz still yet try
3,neutral,hope dope let try
4,positive,great assistant
4,positive,downloaded ill come back review
3,neutral,bad
4,positive,u r well good marks
5,positive,nice
5,positive,ill give try
2,negative,lem try
4,positive,shiiiiz
1,negative,let analyse app give review
5,positive,app goo
5,positive,first time using good
4,positive,best ai signal investors
5,positive,good stody
1,negative,trying got first time
5,positive,great app helpful
5,positive,best aap
3,neutral,downloaded change later
4,positive,hope gives correct analysis trade
5,positive,give review uts tested
5,positive,v good
1,negative,abhi sirf download kiya h
3,neutral,havent really tried yet
5,positive,downloaded ill come back edit tested
4,positive,lets see bee
2,negative,need try first
3,neutral,havent used yet ill back update
5,positive,good
4,positive,love app
3,neutral,amazing
5,positive,awaiting great results
1,negative,fake
5,positive,thenks
1,negative,dont know well
1,negative,rate app using guyss
5,positive,allgood
3,neutral,upgrade rating using
5,positive,ok
1,negative,great app use
5,positive,lets hope app gives promises till things seems good
2,negative,try works give ster
1,negative,quick review
5,positive,excellent app
3,neutral,havent tried
1,negative,nothing say yet
3,neutral,interested
1,negative,result get harmed five minutes result five minutes later another result
2,negative,start using hope says
1,negative,asking rate use
5,positive,good luck
3,neutral,better
3,neutral,downloaded ill come back edit tested
1,negative,starting app review used
5,positive,great experience
5,positive,nice
3,neutral,nah
3,neutral,delivered good service
1,negative,risk reward bad app
2,negative,havent used promising
5,positive,great app beginners also pros
5,positive,really nice
4,positive,less time consuming spend live chart analysis app saves time enter trade confidence
5,positive,gud app think
2,negative,je
1,negative,rate dulu bru boleh buka
5,positive,good enough
5,positive,great app trading
3,neutral,start used hope give better feedback later
1,negative,let people first use app reviewing
3,neutral,easy navigate
1,negative,u let people use st review
5,positive,really good well
3,neutral,good
5,positive,great
5,positive,good
1,negative,trying
1,negative,used lets see goes
4,positive,comments see wow
4,positive,great apps
1,negative,started yet told review
1,negative,app chalaya nahi usse phele rating mang rahe ho ab esa mat karna
5,positive,belum cuba
3,neutral,new user
5,positive,app awesome
3,neutral,havent try already prompt review
4,positive,great app
3,neutral,used yet
5,positive,great apps
5,positive,good app ever used
5,positive,professional trading review
5,positive,dope
5,positive,useful
5,positive,yet try app
1,negative,bad experience
5,positive,great tool hope says
1,negative,absolutely useless
5,positive,number
5,positive,nice
1,negative,force rate app even getting access make pay free trail nothing extremely disappointing
